STT,Phase,Hạng mục,Công việc,PIC,Deadline,Loại yêu cầu,Tình trạng,Ghi chú,,,Phase,Số công việc,Tổng số ngày ước tính,Tiêu chí Pass (điều kiện mở phase/sprint kế tiếp)
11,Phase 0,Chuẩn bị (Quyết định & Repo),Setup bảng theo dõi công việc (GitHub Projects kanban),Cả 2,23/07/2026,Vận hành,Pending,~€15-16/tháng,,,,,,
12,Phase 1,Hạ tầng (VPS/Coolify),Thuê & cấu hình VPS Hetzner CAX31,Cả 2,23/07/2026,Hạ tầng,Pending,,,,,,,
13,Phase 1,Hạ tầng (VPS/Coolify),Cài Coolify lên VPS để deploy kiểu kéo-thả (git push tự deploy),Cả 2,23/07/2026,Hạ tầng,Pending,,,,,,,
14,Phase 1,Hạ tầng (VPS/Coolify),Tạo project Supabase Production (PostgreSQL + Auth + Storage),Cả 2,23/07/2026,Hạ tầng,Production,,,,,,,
15,Phase 1,Hạ tầng (VPS/Coolify),"Tạo project Supabase RIÊNG cho Staging (tách biệt hoàn toàn, không chung DB Production)",Cả 2,23/07/2026,Hạ tầng,Production,,,,,,,
16,Phase 1,Hạ tầng (VPS/Coolify),"Đăng ký & trỏ domain: domain chính Client Portal, subdomain Internal App, domain Backend API",Cả 2,23/07/2026,Hạ tầng,Pending,,,,,,,
17,Phase 1,Hạ tầng (VPS/Coolify),Cấu hình CORS & biến môi trường tách biệt Local/Staging/Production,Cả 2,23/07/2026,Hạ tầng,Pending,,,,,,,
18,Phase 1,Hạ tầng (VPS/Coolify),Setup Redis (broker cho Celery),Cả 2,23/07/2026,Hạ tầng,Pending,,,,,,,
19,Phase 1,Hạ tầng (VPS/Coolify),"Setup Celery Worker + Beat chạy nền cơ bản, thử chạy 1 task test",Cả 2,23/07/2026,Hạ tầng,Pending,,,,,,,
20,Phase 1,Hạ tầng (VPS/Coolify),Setup CI/CD: push main tự động deploy qua Coolify,Cả 2,23/07/2026,Hạ tầng,Pending,specs/0001-postgres-schema-mvp,,,,,,
21,Phase 1,Nền tảng dữ liệu (C1+C6+C7),Viết spec đầu tiên (spec.md): Database rút gọn — mọi agent khác phụ thuộc bảng này,Trường,,Tài liệu,Stagging,Tầng 1 - C1,,,,,,
22,Phase 1,Nền tảng dữ liệu (C1+C6+C7),"Bảng ""Khách hàng"" (clients)",Trường,,Dữ liệu,Stagging,Tầng 1 - C1,,,,,,
23,Phase 1,Nền tảng dữ liệu (C1+C6+C7),"Bảng ""Người dùng"" (users) 3 vai trò: agency_admin, client_admin, client_staff",Trường,,Dữ liệu,Stagging,"Tầng 1 - C1, versioned",,,,,,
24,Phase 1,Nền tảng dữ liệu (C1+C6+C7),"Bảng ""Cấu hình thương hiệu"" (brand_settings) — versioned, không ghi đè bản cũ",Trường,,Dữ liệu,Stagging,Tầng 1 - C1,,,,,,
25,Phase 1,Nền tảng dữ liệu (C1+C6+C7),"Bảng ""Trụ nội dung"" (content_pillars)",Trường,,Dữ liệu,Stagging,Nền tảng cho mọi agent khác,,,,,,
26,Phase 1,Nền tảng dữ liệu (C1+C6+C7),"Bảng ""Bài đăng"" (content_items) đủ FSM rút gọn: planned → ready_for_generation → caption_generating → visual_matching → waiting_asset → asset_blocked → visual_generating → evaluating → eval_failed ⟲ → pending_content_approval → approved_ready_to_post → posted / rejected / archived",Trường,,Dữ liệu,Stagging,,,,,,,
27,Phase 1,Nền tảng dữ liệu (C1+C6+C7),"Bảng ""Lịch sử duyệt"" (hitl_reviews) — append-only",Trường,,Dữ liệu,Stagging,,,,,,,
28,Phase 1,Nền tảng dữ liệu (C1+C6+C7),"Bảng ""Nhật ký thao tác"" (audit_log) — append-only",Trường,,Dữ liệu,Stagging,Thay Hindsight - bản Postgres đơn giản,,,,,,
29,Phase 1,Nền tảng dữ liệu (C1+C6+C7),"Bảng ""Trí nhớ Agent"" agent_memory(agent_code, client_id, task_type, input_summary, output_summary, human_feedback, created_at) thay Hindsight",Trường,,Dữ liệu,Stagging,Tầng 1 - C7,,,,,,
30,Phase 1,Nền tảng dữ liệu (C1+C6+C7),"Bảng ""Thư viện ảnh"" (brand_assets)",Trường,,Dữ liệu,Stagging,Cần trường hạn chót cho job kiểm tra hết hạn,,,,,,
31,Phase 1,Nền tảng dữ liệu (C1+C6+C7),"Bảng ""Yêu cầu xin ảnh"" (asset_requests) — cần trường deadline cho job check_asset_request_expiry",Trường,,Dữ liệu,Stagging,Cách ly dữ liệu từng khách hàng,,,,,,
32,Phase 1,Nền tảng dữ liệu (C1+C6+C7),"Viết migration chạy được nhiều lần không lỗi, không làm mất dữ liệu cũ",Trường,,Hạ tầng,Stagging,Thay thế Hindsight Recall/Retain,,,,,,
33,Phase 1,Nền tảng dữ liệu (C1+C6+C7),Bật RLS phân quyền theo dòng dữ liệu — mỗi khách hàng chỉ thấy đúng dữ liệu của mình,Trường,,Dữ liệu,Stagging,MVP-Scope mục 3 - FSM,,,,,,
34,Phase 1,Nền tảng dữ liệu (C1+C6+C7),Kiểm thử: nhập dữ liệu sai trạng thái/sai định dạng phải bị hệ thống từ chối ngay,Trường,,Kiểm thử,OnGoing,,,,,,,
35,Phase 1,Nền tảng dữ liệu (C1+C6+C7),Setup Supabase Storage theo cấu trúc thư mục riêng từng khách hàng,Trường,,Hạ tầng,Pending,,,,,,,
36,Phase 1,Nền tảng dữ liệu (C1+C6+C7),"Xây lớp Tool Registry ~10 tool dùng chung cho 6 agent: T02/T03 (recall/retain trí nhớ, trỏ Postgres không Hindsight), T04 query_media_library (tag filter), T05 create_asset_request, T08/T09 (đọc/ghi content plan), T12/T13 (ảnh AI/ghép ảnh), T14/T15 (notify_agency_admin rút gọn / update_content_state) — agent CHỈ được gọi đúng tool trong danh sách này, không query DB thẳng",Trường,,Dữ liệu,Pending,,,,,,,
37,Phase 1,Nền tảng dữ liệu (C1+C6+C7),Cấu hình sao lưu (backup) tự động hàng ngày,Trường,,Hạ tầng,Pending,,,,,,,
38,Phase 1,A01 Orchestrator,Xây content_item_state_log + tool T15 update_content_state để từng agent tự ghi state bước mình vừa xong,Trường,,Dữ liệu,Pending,,,,,,,
39,Phase 1,A01 Orchestrator,"Định nghĩa & wire đủ 10 trigger Active cho A01: beat_weekly, strategy_gate_approved(S2), strategy_gate_approved(S3), d01_complete, d02_complete(visual_ready), asset_submitted, asset_request_expired, eval_failed(còn retry), eval_failed(hard fail/hết lượt), content_gate_approved",Trường,,Logic Agent (AI),,,,,,,,
40,Phase 1,A01 Orchestrator,"Giữ tên nhưng KHÔNG wire handler cho 5 trigger Deferred: campaign_created/campaign_ended (Phase 5), publish_due (Phase 3), analytics_due (Phase 4), recommendation_done (Phase 4), direct_assign (Phase 5)",Trường,,Logic Agent (AI),,,,,,,,
41,Phase 1,A01 Orchestrator,"Xây wake_reason enum 4 giá trị, dùng ngay cả 4 từ MVP: scheduled / task_assigned / manual / retry",Trường,,Logic Agent (AI),,,,,,,,
42,Phase 1,A01 Orchestrator,"Xây Celery Beat job check_asset_request_expiry (chạy mỗi vài giờ), phát hiện asset_request quá hạn",Trường,,Logic Agent (AI),,,,,,,,
43,Phase 1,A01 Orchestrator,[Business Rule 1] Precheck trước mọi trigger: chỉ cần clients.is_active (bỏ check quota tổng 12 agent — MVP 1 client 6 agent chưa cần),Trường,,Logic Agent (AI),,,,,,,,
44,Phase 1,A01 Orchestrator,"[Business Rule 2] Không check Campaign — MVP luôn chạy Mode B, không có nhánh B01",Trường,,Logic Agent (AI),,No-code,,,,,,
45,Phase 1,A01 Orchestrator,[Business Rule 3] Concurrent cycle: chỉ 1 loại cycle (weekly) — không tạo cycle mới nếu cycle hiện tại chưa qua khỏi content_production,Trường,,Logic Agent (AI),,,,,,,,
46,Phase 1,A01 Orchestrator,"[Business Rule 4] Xây bảng retry-routing đọc failed_criteria từ E01: brand_voice/content_accuracy/platform_fit/pillar_relevance/originality → route D01; visual_asset_fit/image_design_quality/mobile_readability → route D02; cả 2 nhóm cùng lúc → D01 trước, D02 sau",Trường,,Logic Agent (AI),,,,,,,,
47,Phase 1,A01 Orchestrator,[Business Rule 5] eval_retry_count CHỈ tăng khi E01 đã chạy xong và trả score dưới ngưỡng — Celery retry do lỗi hạ tầng (wake_reason='retry') KHÔNG tăng counter này,Trường,,Logic Agent (AI),,,,,,,,
48,Phase 1,A01 Orchestrator,[Business Rule 6] A01 CHỈ đọc state mới nhất để quyết định dispatch bước kế tiếp — KHÔNG tự ghi state thay agent,Trường,,Logic Agent (AI),,,,,,,,
49,Phase 1,A01 Orchestrator,"Xử lý trigger asset_request_expired: set asset_blocked + notify_agency_admin, KHÔNG tự dùng ảnh AI/fallback, KHÔNG tự reject",Trường,,Logic Agent (AI),,,,,,,,
50,Phase 1,A01 Orchestrator,"Xây DispatchInstruction schema: task_name, payload (client_id/content_item_id/wake_reason/context_packet), idempotency_key dạng client_id:cycle_id:agent_code:content_item_id:attempt",Trường,,Logic Agent (AI),,Mục tiêu RPO < 24h,,,,,,
51,Phase 1,A01 Orchestrator,Failure Behavior: Dispatch fail → retry 2 lần → ghi task_logs + Telegram notify Agency Admin,Trường,,Logic Agent (AI),,,,,,,,
52,Phase 1,A01 Orchestrator,Cấu hình model tier cho A01: Power,Trường,,Logic Agent (AI),,,,,,,,
53,Phase 1,A01 Orchestrator,"Kiểm thử: mô phỏng đủ 10 trigger active, xác nhận A01 dispatch đúng agent + đúng payload cho từng trigger",Trường,,Kiểm thử,,,,,,,,
54,Phase 1,Context Packet MVP + P01-lite + Observability,"Viết hàm build_context_packet_mvp(client_id, agent_code, wake_reason, task_context) trả đúng 4 field: identity, episodic, assignments, wake_reason",Trường,,Logic Agent (AI),,,,,,,,
55,Phase 1,Context Packet MVP + P01-lite + Observability,"identity = load_agent_config: gộp persona tĩnh + brand voice form ngắn (B2) vào 1 field, KHÔNG tách brand_memory riêng (form quá nhỏ để cần RAG)",Trường,,Logic Agent (AI),,,,,,,,
56,Phase 1,Context Packet MVP + P01-lite + Observability,episodic = recall_episodic_memory_mvp(top_k=5): lấy 5 bản ghi gần nhất theo thời gian (recency),Trường,,Logic Agent (AI),,,,,,,,
57,Phase 1,Context Packet MVP + P01-lite + Observability,"Mitigation rủi ro recall: LUÔN kèm thêm mọi bản ghi có human_feedback khác rỗng trong 30 ngày gần nhất (không giới hạn top-5), cộng với 5 bản ghi gần nhất",Trường,,Logic Agent (AI),,,,,,,,
58,Phase 1,Context Packet MVP + P01-lite + Observability,"Đặt tên hàm hậu tố _mvp để Phase 5 chỉ cần viết build_context_packet() đầy đủ thay thế, agent code không cần đổi cách gọi",Trường,,Tài liệu,,Thay Orchestrator A01 đầy đủ,,,,,,
59,Phase 1,Context Packet MVP + P01-lite + Observability,[P01-lite] Trigger: content_gate_approved (có client_edited_caption) HOẶC content_rejected (có reject_reason + feedback_text),Trường,,Logic Agent (AI),,,,,,,,
60,Phase 1,Context Packet MVP + P01-lite + Observability,"[P01-lite] Upsert vào đúng row agent_memory (tìm theo content_item_id nếu có bản ghi cũ, hoặc insert mới), ghi human_feedback = nội dung sửa/lý do reject",Trường,,Logic Agent (AI),,check_asset_request_expiry,,,,,,
61,Phase 1,Context Packet MVP + P01-lite + Observability,"[P01-lite] KHÔNG làm: không tạo learning packet machine-readable, không ghi performance_patterns, không tự động cảnh báo lặp lỗi nhiều lần",Trường,,Tài liệu,,,,,,,,
62,Phase 1,Context Packet MVP + P01-lite + Observability,"[Observability] Tạo bảng task_logs(id, client_id, agent_code, task_type, model_used, tokens_in, tokens_out, latency_ms, status, eval_score, wake_reason, created_at)",Trường,,Dữ liệu,,,,,,,,
63,Phase 1,Context Packet MVP + P01-lite + Observability,[Observability] Mỗi agent task (kể cả A01) tự ghi 1 dòng vào task_logs sau khi chạy xong,Trường,,Logic Agent (AI),,,,,,,,
64,Phase 1,Context Packet MVP + P01-lite + Observability,"[Observability] Màn hình Internal App: list task_logs, filter theo content_item_id / agent_code",Trường,,Giao diện - Internal App,,,,,,,,
65,Phase 1,5 Agent nội dung + FSM/Retry,Định nghĩa đầy đủ 13 trạng thái vòng đời bài đăng và các đường chuyển hợp lệ,Trường,,Dữ liệu,,,,,,,,
66,Phase 1,5 Agent nội dung + FSM/Retry,"workflow_cycles rút gọn còn 2 phase: strategy → content_production → done (không publishing/analytics vì đăng tay, không phân tích tự động)",Trường,,Dữ liệu,,,,,,,,
67,Phase 1,5 Agent nội dung + FSM/Retry,"[B02] Agent tự nghiên cứu & đề xuất trụ nội dung hàng tuần dựa trên thương hiệu, lịch sử pillar, hiệu quả tuần trước",Trường,,Logic Agent (AI),,,,,,,,
68,Phase 1,5 Agent nội dung + FSM/Retry,[B02] Xử lý khách hàng mới chưa có dữ liệu lịch sử (cold start) — vẫn tạo pillar hợp lý,Trường,,Logic Agent (AI),,Bắt buộc có - D02 phụ thuộc vào đây,,,,,,
69,Phase 1,5 Agent nội dung + FSM/Retry,"[B02] Luôn kèm giải thích lý do chọn pillar, không copy nguyên tuần trước mà không có lý do",Trường,,Logic Agent (AI),,,,,,,,
70,Phase 1,5 Agent nội dung + FSM/Retry,"[B02] Ghi kết quả pillar, A01 nhận trigger strategy_gate_approved chuyển bài sang chờ duyệt (Gate S2)",Trường,,Logic Agent (AI),,,,,,,,
71,Phase 1,5 Agent nội dung + FSM/Retry,"Màn hình Cổng duyệt S2 — Duyệt Trụ Nội Dung: xem, sửa trực tiếp (thêm/bớt/đổi tỷ trọng), duyệt/từ chối",Trường,,Quy trình duyệt,,,,,,,,
72,Phase 1,5 Agent nội dung + FSM/Retry,"[B03] Agent lập lịch đăng bài cụ thể theo ngày/platform, dựa trên pillar đã duyệt + tần suất + khung giờ ưa thích",Trường,,Logic Agent (AI),,Rule quan trọng nhất của D02,,,,,,
73,Phase 1,5 Agent nội dung + FSM/Retry,[B03] Không trùng khung giờ cùng platform; tỷ trọng pillar khớp đã duyệt (sai lệch tối đa 10%),Trường,,Logic Agent (AI),,,,,,,,
74,Phase 1,5 Agent nội dung + FSM/Retry,"Màn hình Cổng duyệt S3 — Duyệt Kế Hoạch Nội Dung: xem lịch đăng, thêm/bớt bài, đổi ngày/góc nhìn",Thuận,,Quy trình duyệt,,,,,,,,
75,Phase 1,5 Agent nội dung + FSM/Retry,"[D01] Agent viết caption riêng từng platform (FB/IG khác độ dài, cách trình bày), kèm hashtag, kèm CTA",Thuận,,Logic Agent (AI),,,,,,,,
76,Phase 1,5 Agent nội dung + FSM/Retry,"[D01] Agent tự viết kèm image_brief bắt buộc: ảnh thật hay AI, tag ảnh cần tìm, overlay/chữ trên ảnh, tỷ lệ khung theo platform",Thuận,,Logic Agent (AI),,,,,,,,
77,Phase 1,5 Agent nội dung + FSM/Retry,[D01] Không dùng từ/cụm từ bị cấm trong brand config; không lặp kiểu câu mở đầu quá 3 lần/tháng,Thuận,,Logic Agent (AI),,,,,,,,
78,Phase 1,5 Agent nội dung + FSM/Retry,[D01] Đọc 5 caption gần nhất (đạt + bị từ chối kèm lý do) trước khi viết bài mới,Thuận,,Logic Agent (AI),,,,,,,,
79,Phase 1,5 Agent nội dung + FSM/Retry,A01 nhận trigger d01_complete → dispatch D02 (KHÔNG chạy song song với D01),Thuận,,Logic Agent (AI),,Cần đã chốt ở Phase 0,,,,,,
80,Phase 1,5 Agent nội dung + FSM/Retry,"[D02] Agent tìm/tạo/ghép ảnh cho bài viết, đọc caption + image_brief từ D01",Thuận,,Logic Agent (AI),,,,,,,,
81,Phase 1,5 Agent nội dung + FSM/Retry,"[D02] Business rule cốt lõi: nội dung cần ảnh thật (sản phẩm/quán/con người) → bắt buộc dùng ảnh thật từ thư viện, KHÔNG tự ý tạo ảnh AI thay thế",Thuận,,Logic Agent (AI),,,,,,,,
82,Phase 1,5 Agent nội dung + FSM/Retry,"[D02] Không tìm được ảnh thật phù hợp → tạo asset_request, A01 chuyển bài sang waiting_asset — KHÔNG tính là lỗi",Thuận,,Logic Agent (AI),,,,,,,,
83,Phase 1,5 Agent nội dung + FSM/Retry,[D02] Loại nội dung cho phép (poster/meme/banner không có sản phẩm) → được dùng AI tạo ảnh hoàn toàn,Thuận,,Logic Agent (AI),,,,,,,,
84,Phase 1,5 Agent nội dung + FSM/Retry,[D02] Luôn xuất đúng tỷ lệ khung ảnh theo platform mà D01 đã chỉ định,Thuận,,Logic Agent (AI),,,,,,,,
85,Phase 1,5 Agent nội dung + FSM/Retry,"A01 nhận trigger asset_submitted → dispatch LẠI D02 (không phải D01, vì caption không đổi)",Trường,,Logic Agent (AI),,,,,,,,
86,Phase 1,5 Agent nội dung + FSM/Retry,A01 nhận trigger d02_complete (visual_ready) → dispatch E01,Trường,,Logic Agent (AI),,,,,,,,
87,Phase 1,5 Agent nội dung + FSM/Retry,[E01] Agent chấm điểm caption (thang 10) và ảnh (thang 5) trước khi đưa cho con người duyệt,Trường,,Logic Agent (AI),,,,,,,,
88,Phase 1,5 Agent nội dung + FSM/Retry,"[E01] Tiêu chí chấm caption: tông giọng, thông tin chính xác, đúng định dạng platform, đúng chủ đề/góc nhìn, không lặp nội dung cũ",Trường,,Logic Agent (AI),,,,,,,,
89,Phase 1,5 Agent nội dung + FSM/Retry,"[E01] Tiêu chí chấm ảnh: đúng sản phẩm/bối cảnh, bố cục/màu/mood hợp thương hiệu, chữ đọc được trên mobile",Trường,,Logic Agent (AI),,,,,,,,
90,Phase 1,5 Agent nội dung + FSM/Retry,[E01] Áp dụng ngưỡng: Caption≥7.0 VÀ Visual≥3.5 → pass; 5.0-6.9 hoặc 2.5-3.4 → retry; <5.0 hoặc <2.5 → hard fail,Trường,,Logic Agent (AI),,,,,,,,
91,Phase 1,5 Agent nội dung + FSM/Retry,[E01] Trả về failed_criteria + retry_allowed cho A01 route retry đúng agent theo bảng ở Bước 3 (E01 KHÔNG tự route),Trường,,Logic Agent (AI),,,,,,,,
92,Phase 1,5 Agent nội dung + FSM/Retry,[E01] TUYỆT ĐỐI không được gọi khi bài đang waiting_asset — A01 biết trạng thái này thì không dispatch E01,Trường,,Logic Agent (AI),,,,,,,,
93,Phase 1,5 Agent nội dung + FSM/Retry,[E01] Điểm số KHÔNG hiển thị cho chủ quán — chỉ Agency Admin xem qua task_logs / Internal App,Trường,,Logic Agent (AI),,,,,,,,
94,Phase 1,5 Agent nội dung + FSM/Retry,"Màn hình Duyệt bài (Content Approval Gate): caption cuối + ảnh cuối + giờ đăng, xem trước dạng giống thật FB/IG",Thuận,,Quy trình duyệt,,Xem sheet Tổng quan - Tiêu chí Pass,,,,,,
95,Phase 1,5 Agent nội dung + FSM/Retry,4 hành động: Duyệt / Duyệt kèm sửa giờ đăng / Sửa caption rồi duyệt / Từ chối kèm lý do (danh sách có sẵn),Thuận,,Quy trình duyệt,,,,,,,,
96,Phase 1,5 Agent nội dung + FSM/Retry,"Sửa caption → lưu bản mới, kích hoạt P01-lite ghi bài học cho D01",Thuận,,Quy trình duyệt,,,,,,,,
97,Phase 1,5 Agent nội dung + FSM/Retry,Sửa giờ đăng → cập nhật giờ mới trong hệ thống,Thuận,,Quy trình duyệt,,,,,,,,
98,Phase 1,5 Agent nội dung + FSM/Retry,"Sau khi đã duyệt → khoá caption/giờ đăng lại, chỉ Agency Admin mở lại được (có ghi log)",Thuận,,Quy trình duyệt,,"Verify Recall thật, không giả lập",,,,,,
99,Phase 1,Portal + Internal App,"Trang Tổng quan (Dashboard): chu kỳ hiện tại đang ở bước nào, có gì đang chờ duyệt",Thuận,,Giao diện - Portal,,,,,,,,
100,Phase 1,Portal + Internal App,"Trang ""Kế hoạch"": xem & duyệt Trụ nội dung (S2) và Kế hoạch nội dung (S3)",Thuận,,Giao diện - Portal,,Xuyên suốt Phase 2 (~4 tuần),,,,,,
101,Phase 1,Portal + Internal App,"Trang ""Duyệt bài"" (Content Approval Gate, ẩn điểm E01)",Thuận,,Giao diện - Portal,,,,,,,,
102,Phase 1,Portal + Internal App,"Trang ""Thư viện ảnh"": xem ảnh đã upload, lọc theo tag, xem yêu cầu xin ảnh đang chờ",Thuận,,Giao diện - Portal,,,,,,,,
103,Phase 1,Portal + Internal App,"Màn hình upload ảnh tối ưu điện thoại: chụp trực tiếp hoặc chọn từ máy, ghi chú riêng từng ảnh",Thuận,,Giao diện - Portal,,,,,,,,
104,Phase 1,Portal + Internal App,"Trang ""Cài đặt"": form ngắn nhập thông tin thương hiệu (brand voice B2) — điền & Lưu, không cần biết kỹ thuật",Thuận,,Giao diện - Portal,,,,,,,,
105,Phase 1,Portal + Internal App,"Nút ""Đánh dấu đã đăng"": sau khi tự đăng tay lên FB/IG, bấm để đóng bài",Thuận,,Giao diện - Portal,,,,,,,,
106,Phase 1,Portal + Internal App,"Đăng nhập bằng email/mật khẩu (Supabase Auth), quên mật khẩu qua email",Thuận,,Giao diện - Portal,,,,,,,,
107,Phase 1,Portal + Internal App,Phân quyền hiển thị: client_staff không thấy nút Duyệt ở bất kỳ đâu; chỉ client_admin thấy,Thuận,,Giao diện - Portal,,KR1-rút gọn 🔶4 tuần,,,,,,
108,Phase 1,Portal + Internal App,"Trang Onboarding khách hàng mới: nhập tên, ngành, platform, timezone",Thuận,,Giao diện - Internal App,,KR2 🔶70%,,,,,,
109,Phase 1,Portal + Internal App,"Trang danh sách bài viết theo từng khách hàng, lọc theo trạng thái FSM",Thuận,,Giao diện - Internal App,,KR4-rút gọn 🔶4 giờ,,,,,,
110,Phase 1,Portal + Internal App,"Nút ""Chạy lại"" cho 1 content item: gọi A01 với wake_reason='manual', A01 tự dispatch đúng agent theo state hiện tại",Thuận,,Giao diện - Internal App,,,,,,,,
111,Phase 1,Portal + Internal App,Chức năng tạm dừng/kích hoạt lại 1 khách hàng (is_active),Thuận,,Giao diện - Internal App,,,,,,,,
112,Phase 1,Hardening + Pilot thật,Kiểm thử toàn bộ luồng end-to-end: tạo pillar → lên kế hoạch → viết caption → làm ảnh → chấm điểm → duyệt → đánh dấu đã đăng,Cả 2,,Kiểm thử,,Công thức ở Phase-Roadmap Phase 2,,,,,,
113,Phase 1,Hardening + Pilot thật,"Kiểm thử các trường hợp biên: hết ngân sách AI, thiếu ảnh, đánh giá không đạt 3 lần, khách hàng bị tạm dừng, asset_request hết hạn",Cả 2,,Kiểm thử,,,,,,,,
114,Phase 1,Hardening + Pilot thật,"Chuẩn bị dữ liệu mẫu cho Bardinh Coffee: thông tin thương hiệu, vài ảnh mẫu, caption mẫu",Cả 2,,Vận hành,,,,,,,,
115,Phase 1,Hardening + Pilot thật,Setup Onboarding thật cho Bardinh Coffee trên hệ thống,Cả 2,,Vận hành,,Làm mới khi còn ≤7 ngày,,,,,,
116,Phase 1,Hardening + Pilot thật,Chạy thử chu kỳ tuần đầu tiên có giám sát chặt (theo dõi từng bước),Cả 2,,Vận hành,,,,,,,,
117,Phase 1,Hardening + Pilot thật,"Thu thập lỗi phát sinh từ chu kỳ 1, sửa nhanh",Cả 2,,Kiểm thử,,,,,,,,
118,Phase 1,Hardening + Pilot thật,Chạy chu kỳ tuần thứ 2 — verify agent_memory Recall thật: cycle 2 dùng được bài học cycle 1,Cả 2,,Vận hành,,,,,,,,
119,Phase 1,Hardening + Pilot thật,Xác nhận không có worker/task bị treo quá 24h trong suốt 2 chu kỳ,Cả 2,,Kiểm thử,,,,,,,,
120,Phase 1,Hardening + Pilot thật,"Trường & Thuận đánh giá chất lượng caption/ảnh có thực sự dùng được không (không chỉ ""chạy được"")",Cả 2,,Vận hành,,,,,,,,
